flight_id;user_id
0000000001;LetíciOliveira668
0000000001;IriPinto
0000000002;DJesus
0000000002;SPinho
0000000002;EnCorreia
0000000002;JCardoso1920
0000000003;TCampos
0000000003;LeonoBorges2020
0000000003;ValentiEsteves1885
0000000004;ÂngelMatias
0000000004;ToAzevedo
0000000004;JuliVicente
0000000004;SanMonteiro1813
0000000004;PetSantos208
0000000004;WilsSilva
0000000004;FBaptista825
0000000004;SPinho687
0000000005;RuVaz748
0000000005;AntónHenriques291
0000000005;EriAbreu
0000000005;FranAraújo1620
0000000005;AlicCosta1723
0000000005;FFernandes
0000000005;IAbreu-Neves1652
0000000005;CaroBranco1840
0000000005;MaMartins930
0000000005;PetrNeto1117
0000000005;LoureTeixeira-Garcia
0000000005;JoanLeite
0000000005;LuciCoelho
0000000005;CristiLopes571
0000000005;FGarcia1053
0000000005;JúlBarbosa1649
0000000005;SamAlves-Vaz771
0000000005;LeonJesus895
0000000005;AlicTavares
0000000005;AndrAntunes-Matias1077
0000000005;CarolinHenriques
0000000005;JosNogueira26
0000000005;RiAlmeida552
0000000005;DieFreitas
0000000005;RafAlves904
0000000005;CCampos-Santos1367
0000000005;ÂngelPinho330
0000000005;SofiCastro1012
0000000005;LúFigueiredo
0000000005;MMelo613
0000000005;ÂngelCoelho941
0000000005;LuaCosta1111
0000000005;DaniMoreira
0000000005;DaviCorreia
0000000005;IsAlmeida
0000000005;FrancCruz
0000000005;AndrJesus248
0000000005;VítoMartins283
0000000005;ManueBarbosa-Borges889
0000000005;InêAmorim
0000000005;DuartCarvalho
0000000005;ÂnGuerreiro1670
0000000005;MarcBrito103
0000000005;SoraiAmaral
0000000005;IBarbosa959
0000000005;BianAmorim
0000000005;MirPinho
0000000005;GabriLoureiro
0000000005;EMonteiro
0000000005;AndreAlmeida1108
0000000005;JoeSantos698
0000000005;LuíEsteves708
0000000005;MárBarros202
0000000005;NádiMatias
0000000005;MCastro31
0000000005;ELima150
0000000005;MartiGarcia660
0000000005;DieAssunção
0000000005;BMartins78
0000000005;BTavares978
0000000005;IsabelCunha939
0000000005;CaFonseca
0000000005;YaCarneiro162
0000000005;ITavares1727
0000000005;LuciAlmeida1192
0000000005;SamuNunes
0000000005;BruMarques1064
0000000005;PilaPaiva308
0000000005;VerPaiva-Lourenço
0000000005;MatiaFaria1943
0000000005;WillCoelho1191
0000000005;ReAlves-Carvalho715
0000000005;JMiranda1025
0000000005;JNunes552
0000000005;ErLourenço542
0000000005;PatrCarvalho
0000000005;EvAlmeida
0000000005;JuliaBatista
0000000005;RAlves
0000000005;CaTavares-Paiva732
0000000005;GiMorais2
0000000006;FredeSantos-Macedo1115
0000000006;NádBrito
;CBranco
0000000006;PetSantos208
0000000007;Daniela-BiancTavares
0000000007;VaCoelho1853
0000000007;RenaMorais
0000000008;MiMonteiro1819
0000000008;BMiranda
0000000008;MáriTorres610
0000000008;PauSilva1193
0000000008;MiguSantos
0000000008;MartValente1867
0000000008;TomáMelo398
0000000008;EnzCampos
0000000008;CarmiOliveira
0000000008;MatCampos-Pacheco1070
0000000008;AValente1155
0000000008;SimMelo1108
0000000008;ÂngeAlves751
0000000008;BiancNogueira1531
0000000008;Ana-BGonçalves1116
0000000008;LuanTorres770
0000000008;EmanueMarques
0000000008;LisandrCampos
0000000008;NEsteves760
0000000008;MLourenço810
0000000008;RafaeHenriques
0000000008;YDomingues
0000000008;Sofia-JésRodrigues1257
0000000008;EduardMartins
0000000008;SaRodrigues-Freitas
0000000008;RMaia652
0000000008;LuCunha176
0000000008;DinMatias845
0000000008;SimãFonseca1012
0000000008;LRamos61
0000000008;SaFonseca1041
0000000008;ÂngelGonçalves1058
0000000008;MaFaria1150
0000000008;FilMoura1220
0000000008;JoaquiSá1977
0000000008;JéssMoura1725
0000000008;DanieVaz
0000000008;MeliPacheco
0000000008;SaCarvalho
0000000008;RafaTavares
0000000008;DPinto1237
0000000008;RiMelo1971
0000000008;FredericBaptista1828
0000000008;ViolePinheiro1847
0000000008;EmmMatias1439
0000000008;LFigueiredo-Magalhães1895
0000000008;LauBaptista1420
0000000008;LoBorges
0000000008;LeonJesus895
0000000008;KellAssunção
0000000008;GiFernandes
0000000008;BAmorim
0000000008;TaJesus
0000000008;VictóAssunção1696
0000000008;MigMendes
0000000008;PilaMacedo275
0000000008;LarissJesus
0000000008;JorLeal
0000000008;BenjamiNeto
0000000008;LuTeixeira571
0000000008;AndCampos1471
0000000008;FilipSimões1169
0000000008;Sofia-CaBarros1520
0000000008;MeMorais
0000000009;ÉriNogueira488
0000000009;CamilMiranda-Matos
0000000009;PetSantos208
0000000010;DenLeite
0000000010;MargarBatista399
0000000010;SSá
0000000010;RúSantos
0000000011;AndrVieira
0000000011;ToFernandes
0000000012;GonçMatos
0000000012;JoaquiPaiva1547
0000000012;ESousa623
0000000012;MReis
0000000012;ErPinto235
0000000012;LeCunha
0000000012;EvRamos1180
0000000012;VítoRocha1934
0000000012;DeMota
0000000012;MPinho-Mendes222
0000000012;WilMarques
0000000012;Isabel-FAlves96
0000000012;AdriJesus
0000000012;VictSá
0000000012;IFaria
0000000012;MarcoMatias882
0000000012;RLopes1987
0000000012;FranciscAraújo900
0000000012;EmBarbosa
0000000012;JFaria794
0000000012;Maria-AdAmaral
0000000012;LuíSousa481
0000000012;DeLoureiro949
0000000012;IsBatista1920
0000000012;CéPacheco2
0000000012;NoaMonteiro
0000000012;EAntunes1032
0000000012;JoAraújo
0000000012;IsJesus691
0000000012;NúrMarques
0000000012;FMorais-Garcia1842
0000000012;TMoura1413
0000000012;AniMiranda365
0000000012;INeves
0000000012;KCarvalho145
0000000012;AntóniDomingues
0000000012;YarNunes1013
0000000012;JoaGuerreiro738
0000000012;LuMartins
0000000012;JEsteves
0000000012;RafaelCosta728
0000000012;LoLourenço
0000000012;JMartins
0000000012;PilGomes1448
0000000012;GabriCastro
0000000012;GaspGaspar
0000000012;ACarneiro764
0000000012;VicentBorges
0000000012;GustavPinto-Lopes
0000000012;IvGonçalves1362
0000000012;AriReis10
0000000012;RúSantos
0000000012;SandrRodrigues826
0000000012;HenriSimões1575
0000000012;TatiMartins1502
0000000012;ESilva
0000000012;RodrigCosta
0000000012;EmPires1447
0000000012;MauFreitas-Monteiro636
0000000012;ENascimento140
0000000012;ÉrFigueiredo540
0000000012;CrisMonteiro1586
0000000012;VicentRibeiro-Moreira
0000000012;TMoreira198
0000000012;GonPires-Lopes1400
0000000012;InêBarbosa
0000000012;RAzevedo1831
0000000012;ValentCardoso-Reis
0000000012;ETorres
0000000013;RicLeal1348
0000000013;AlexAlves
0000000013;BárBarros1218
0000000013;GabrieVicente
0000000013;BenBrito1722
0000000013;AfoMatos
0000000014;EduCarvalho1041
0000000014;JuliaLoureiro
0000000014;FiMiranda
0000000014;PedrVicente1823
0000000014;VítoFerreira-Carvalho
0000000014;RenatPires
0000000015;JúBatista1064
0000000015;IsaaGaspar
0000000015;NaiaPaiva
0000000015;TatiaAmorim1160
0000000016;DiniCorreia404
0000000017;FiBarros196
0000000017;JúBatista1064
0000000017;TCarvalho
0000000017;AndreAlves573
0000000017;SimMagalhães1729
0000000018;AntLima1199
0000000018;DioOliveira153
0000000018;AlexanBranco734
0000000018;EVaz1160
0000000018;SarMagalhães133
0000000018;LariPereira
0000000018;EmTorres
0000000018;IMota272
0000000018;NoaCarvalho
0000000018;LuTeixeira-Moura1161
0000000018;BriaValente1441
0000000018;ClNeves1204
0000000018;CláudRamos
0000000018;CristianBatista-Nogueira626
0000000018;RPires
0000000018;FernandPinheiro
0000000018;CarLourenço
0000000018;CamiMota1553
0000000018;RenaBranco
0000000018;FCardoso
0000000018;LunMagalhães1430
0000000018;CaPereira
0000000018;NicolMachado1739
0000000018;IvaJesus
0000000018;MiSimões-Cunha
0000000018;JoMarques1059
0000000018;CésBorges
0000000018;LucaLopes458
0000000018;GaAssunção343
0000000018;BernardPinho
0000000018;WilPaiva
0000000018;AndPinho
0000000018;InBorges680
0000000018;YSousa
0000000018;IsBatista939
0000000018;ManuCardoso
0000000018;AfJesus979
0000000018;VioletAntunes1791
0000000018;SaMartins1505
0000000018;KyaCunha-Soares
0000000018;SalvadoVicente1177
0000000018;LeanBarros690
0000000018;LaNascimento824
0000000018;MariGomes
0000000018;NoaGarcia-Rodrigues460
0000000018;MárcGarcia
0000000018;CrCardoso1418
0000000018;VerMagalhães
0000000018;ManMartins-Abreu
0000000018;GaCunha-Almeida1350
0000000018;DinMatias845
0000000018;HuMendes1216
0000000018;JoRodrigues
0000000018;YasmiReis592
0000000018;ÂngeCoelho
0000000018;MAbreu
0000000018;ClAzevedo241
0000000018;EMarques183
0000000018;EmGarcia
0000000018;GAbreu1874
0000000018;MatiaNunes
0000000018;EmDomingues
0000000018;AleGonçalves
0000000018;DinCardoso1596
0000000018;TMoura
0000000018;EvAlmeida
0000000018;NicRamos1169
0000000018;SérgCosta
0000000018;VAlmeida-Araújo1752
0000000018;MárciLeal
0000000018;TeresPinheiro2016
0000000018;LuíSilva
0000000018;SalTavares159
0000000018;CláuMartins399
0000000018;DéborGarcia1481
0000000018;JoaqMachado
0000000018;JAmaral1175
0000000018;JaHenriques1569
0000000018;MartiGarcia660
0000000018;LorLoureiro933
0000000019;ValentinNunes
